ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6
19525,240000,2,2,1,32,0,0,0,-2,-2,-2
10045,2.00E+05,2,1,1,44,1,-2,-2,-2,-2,-2
15784,50000,2,2,2,23,0,0,0,0,2,0
18466,20000,2,1,2,23,0,0,0,0,0,0
16106,220000,2,2,2,46,0,0,0,2,2,0
19314,2.00E+05,2,1,1,34,-2,-1,-1,-2,-2,-1
20981,120000,1,2,2,32,0,0,0,0,0,-1
18768,250000,2,1,2,28,0,0,0,-1,-1,-2
18066,360000,1,1,2,40,-1,-1,-1,-1,-1,-1
15118,50000,1,1,1,48,2,2,2,2,0,0
16803,50000,1,2,1,38,-1,-1,-1,-1,0,-1
11893,260000,2,2,1,37,-1,-1,-1,2,2,2
2751,260000,2,1,1,32,-1,-1,2,-1,-1,-1
14787,30000,1,1,2,25,0,0,0,0,0,0
6080,670000,1,1,2,28,0,0,0,0,0,0
15562,480000,1,1,1,43,0,0,0,0,0,0
16991,50000,2,2,2,22,0,0,2,2,2,0
11831,60000,1,2,1,35,0,0,0,2,2,2
207,1.00E+05,1,1,1,47,-1,-1,-1,-1,-1,-1
5252,330000,2,1,1,44,0,0,0,0,0,0
14385,140000,2,3,1,25,-2,-2,-2,-2,-2,-2
11388,2.00E+05,2,1,1,35,-1,2,-1,-1,-1,-1
10599,150000,1,5,2,31,-2,-2,-2,-2,-2,-2
12746,50000,1,3,1,52,2,2,2,4,3,3
5965,80000,1,1,2,26,0,0,0,0,0,0
13838,2.00E+05,1,2,2,31,-1,-1,-1,-1,-1,-1
10402,2.00E+05,1,1,1,32,-1,-1,-1,-2,-1,-1
22397,130000,2,2,1,30,0,0,0,0,0,-1
21436,90000,2,3,2,27,1,2,0,0,0,0
5440,110000,2,2,1,42,2,2,2,2,2,0
22376,230000,2,1,2,31,-1,-1,2,-1,-1,0
15214,5.00E+05,2,1,2,27,0,0,-1,-1,-2,-1
13641,20000,2,3,2,22,2,2,0,0,0,-2
21952,170000,2,1,2,27,-2,-2,-2,-2,-2,-2
12863,50000,1,3,1,43,0,0,0,0,0,0
22671,2.00E+05,2,2,2,39,-1,-1,-2,-2,-2,-1
8199,60000,1,1,2,27,0,0,0,0,2,2
7469,20000,1,1,2,39,1,2,2,2,2,2
16756,70000,1,2,1,35,0,0,0,0,0,0
742,110000,2,1,2,30,-1,-1,-1,-1,-2,-2
10247,180000,1,2,1,35,0,0,0,0,0,0
13897,110000,2,2,2,31,2,0,0,0,0,2
13827,240000,2,1,2,30,-1,-1,0,0,0,-1
9374,30000,2,3,1,45,1,2,2,2,0,0
23916,50000,1,2,2,24,-1,-1,0,0,0,0
20016,160000,2,1,2,35,-1,-1,-1,-1,-1,-2
17286,120000,2,3,0,47,-1,0,0,-2,-2,-2
18166,50000,1,2,2,42,0,0,0,0,0,0
13337,180000,1,1,2,31,-1,-1,-1,-2,-2,-2
13202,250000,1,3,2,46,0,0,0,0,0,0
21228,410000,1,1,1,41,0,0,0,0,0,0
9167,30000,1,2,2,25,2,2,4,3,2,2
941,50000,2,1,2,25,0,0,0,0,0,2
1567,280000,2,2,1,37,0,0,0,0,0,0
18478,60000,2,2,2,25,-1,-1,0,0,0,0
21282,110000,1,2,1,50,0,0,0,0,0,0
19030,30000,2,1,1,45,2,0,0,0,0,0
8126,3.00E+05,2,2,1,50,0,0,0,0,0,0
13186,150000,2,1,2,32,1,-1,-1,-1,0,-1
363,50000,1,2,2,32,4,3,2,0,0,0
8345,320000,2,3,1,39,-1,-1,-1,-1,-1,0
6250,40000,1,2,1,36,0,0,2,2,2,0
2137,50000,1,1,2,23,1,-2,-2,-2,-2,-1
10251,50000,1,2,2,26,1,-2,-2,-2,-2,-2
6644,20000,1,1,2,29,0,0,2,0,0,0
9835,180000,2,1,2,42,-2,-2,-2,-2,-2,-2
10208,80000,1,2,2,26,0,0,0,0,0,0
15726,30000,2,2,2,21,0,0,0,0,0,0
22961,180000,2,2,1,41,-1,-1,-1,-1,-1,-1
17738,40000,2,2,1,53,0,0,2,2,0,0
1741,140000,1,1,1,54,0,0,0,0,0,0
13353,90000,2,2,1,51,0,0,0,0,0,0
3841,240000,2,1,1,54,0,0,0,0,2,0
15607,130000,2,2,2,28,0,0,0,0,0,0
20704,120000,1,2,2,35,0,0,0,2,2,0
16191,10000,2,2,2,36,1,2,0,0,0,0
9935,50000,2,2,1,25,-1,0,0,0,0,0
2372,30000,2,2,2,23,-2,-2,-2,-2,-2,-2
17887,220000,1,1,2,28,0,0,0,0,0,0
5346,50000,2,2,0,28,1,2,0,0,0,0
5521,50000,1,3,1,39,0,0,0,0,0,0
15811,10000,2,1,2,27,2,0,0,2,0,0
4935,30000,2,1,1,22,2,2,0,0,0,0
16527,30000,1,1,2,25,2,2,2,2,2,0
14811,250000,2,2,1,44,0,0,2,2,2,0
21889,110000,2,2,2,25,0,0,0,0,0,0
5885,20000,2,1,2,25,2,2,0,0,0,0
19123,2.00E+05,2,2,2,32,0,0,0,0,0,0
19244,60000,2,2,1,47,0,0,0,2,-1,2
17984,210000,1,1,1,42,-1,-1,-1,-1,-1,-1
5622,30000,1,2,1,44,0,0,0,0,0,-2
9952,280000,2,2,2,24,-1,-1,-1,-1,-1,-2
22363,50000,2,2,2,26,0,0,0,0,0,0
3872,50000,1,2,2,25,2,0,0,0,0,0
230,20000,2,3,2,24,1,2,0,0,0,0
8540,1.00E+05,2,1,2,37,-1,-1,0,-1,-1,-2
19532,320000,2,1,1,46,-1,-1,-1,-1,-1,-1
22165,150000,2,1,3,30,1,-1,2,-1,-1,-1
8839,220000,2,2,1,41,1,2,-1,-1,-1,-1
24068,110000,1,3,2,27,0,0,0,0,0,0
18235,50000,1,3,2,58,2,0,0,0,0,0
9484,70000,2,3,1,59,2,2,2,2,2,2
21151,110000,1,3,2,44,0,0,0,0,0,0
15676,80000,1,2,2,24,1,-2,-2,-1,2,2
5780,60000,1,2,1,36,0,0,0,0,0,0
13669,1.00E+05,1,2,1,38,0,0,0,0,0,0
10014,30000,1,3,2,58,-1,-1,-1,0,0,0
2514,270000,1,2,1,38,1,-2,-2,-2,-2,-2
8525,380000,2,1,2,32,-1,-1,-1,-1,-1,-1
5261,40000,2,2,2,24,1,2,0,0,2,2
12734,80000,1,2,2,24,0,0,0,0,0,0
6096,460000,1,2,1,31,0,0,0,-1,-1,-2
5257,260000,2,3,3,55,0,0,0,0,0,0
21624,120000,2,1,2,24,-2,-2,-2,-2,-2,-2
10952,10000,2,3,1,45,2,-1,-1,-1,-1,-2
11507,10000,1,2,2,23,0,0,0,0,0,-2
23892,20000,1,3,2,23,1,2,-1,-1,0,0
16282,150000,2,2,1,32,1,-2,-2,-2,-2,-2
22434,1.00E+05,2,3,1,36,2,0,0,2,0,0
19683,2.00E+05,2,2,1,46,0,0,0,0,0,0
2538,160000,1,2,1,26,-2,-2,-2,-2,-2,-2
1591,50000,2,3,1,48,0,0,0,0,0,0
9070,60000,1,1,2,27,0,0,0,0,0,0
7750,250000,1,3,1,44,-1,-1,-1,-1,-1,-1
13904,290000,1,2,1,50,1,-2,-2,-2,-2,-2
20540,3.00E+05,1,1,2,28,1,-2,-2,-2,-2,-2
19059,50000,2,1,2,25,0,0,0,2,0,0
22448,50000,2,2,1,42,0,0,0,0,0,0
11922,10000,1,1,2,26,-1,2,-1,-1,-1,-2
37,280000,1,2,1,40,0,0,0,0,0,0
12234,160000,1,2,1,31,0,0,0,0,2,0
9556,240000,1,4,2,29,0,0,0,0,0,0
13171,50000,1,2,2,38,0,0,0,0,0,0
13518,160000,1,2,2,24,0,0,0,0,0,0
15386,90000,2,2,1,34,-1,2,-1,-1,-2,-2
8365,140000,1,2,1,36,-1,-1,0,0,0,0
4750,50000,1,2,1,58,-1,-1,-1,-1,-1,-1
8086,5.00E+05,1,2,2,35,0,0,0,0,0,0
12488,90000,2,3,1,46,-2,-2,-2,-2,-2,-2
19229,30000,2,1,1,32,-1,-1,-1,-2,-2,-2
7699,110000,2,3,2,31,0,0,0,0,0,0
17021,60000,2,2,1,24,2,0,0,0,2,0
5638,2.00E+05,1,2,2,29,0,0,0,0,0,2
16719,20000,1,3,3,46,0,0,0,0,0,0
24022,60000,1,1,2,25,0,0,2,2,2,0
14285,10000,1,2,1,47,0,0,0,0,0,-1
13631,130000,2,2,1,28,0,0,0,0,0,0
961,380000,1,1,2,43,1,2,2,-2,-2,-2
10656,240000,2,2,1,38,1,2,-1,2,2,2
9902,250000,2,1,2,28,2,2,2,0,0,0
16545,50000,1,3,2,27,0,0,0,0,0,0
2125,350000,1,1,2,42,2,0,0,0,0,0
15950,120000,2,2,2,28,0,0,0,0,0,0
6467,210000,2,2,1,49,1,-2,-2,-2,-2,-2
14239,450000,1,1,2,26,0,0,0,-1,-1,-1
14397,420000,2,2,1,40,0,0,0,2,0,0
23354,230000,2,2,2,28,-2,-2,-2,-2,-2,-2
370,20000,2,2,1,32,3,2,0,0,0,0
5722,30000,2,3,2,27,2,2,2,2,2,2
7773,50000,1,2,2,42,0,0,0,0,0,0
6459,280000,2,2,2,28,1,-2,-1,0,0,-1
22768,620000,2,1,2,38,-1,-1,-1,-2,-1,0
16752,30000,1,2,2,35,1,3,3,2,0,0
6866,2.00E+05,2,2,1,37,0,0,0,0,0,0
17519,220000,2,1,1,33,0,0,0,0,0,0
13746,280000,1,1,2,34,1,-2,-2,-2,-2,-2
17934,470000,1,1,2,34,0,0,0,0,0,0
10566,60000,2,2,2,24,-1,0,0,0,0,0
17439,50000,2,1,1,30,0,0,0,0,0,0
15321,170000,2,2,2,38,-2,-2,-2,-2,-2,-2
21394,2.00E+05,1,1,1,58,-2,-2,-2,-2,-2,-2
19134,50000,2,2,1,34,2,2,2,0,0,0
22765,6.00E+05,2,2,2,30,0,0,0,0,0,0
18918,60000,2,2,2,28,2,0,0,0,0,0
18599,60000,2,2,2,27,0,0,0,0,0,0
2574,120000,2,1,2,29,-1,-1,-1,-2,-1,-1
1428,20000,2,2,2,32,2,3,2,2,2,0
12955,150000,2,1,2,29,-1,-1,-1,0,-1,-1
8630,80000,1,1,2,31,0,0,0,0,0,0
22459,30000,2,1,1,41,0,0,0,0,0,0
16054,160000,2,3,1,46,-1,-1,-1,0,-1,-1
9824,50000,2,3,1,48,-1,-1,-1,-1,-1,-1
22903,180000,2,1,2,27,-1,-1,0,0,0,0
373,90000,2,1,2,34,0,0,0,2,2,2
6872,360000,1,1,1,58,-1,-1,-1,-1,-1,-1
5619,180000,2,2,1,35,0,0,0,0,0,0
8132,210000,2,2,2,37,0,0,0,0,0,0
16181,4.00E+05,2,1,2,31,-1,-1,-1,-1,0,0
18115,130000,1,5,2,37,0,0,0,0,0,0
6824,90000,2,2,1,51,0,0,0,0,0,0
11216,360000,2,1,2,35,0,0,-1,0,0,-2
22114,140000,2,2,2,31,-1,-1,-1,-1,0,-1
22887,1.00E+05,2,1,1,31,1,-2,-2,-2,-2,-1
15959,150000,2,2,2,27,-1,-1,-1,-1,-1,0
994,360000,2,1,2,25,0,0,0,0,0,-2
14504,50000,2,2,2,23,0,0,0,2,0,0
16746,80000,1,2,1,43,0,0,0,0,0,0
15004,50000,2,2,1,27,-1,-1,-1,-1,-1,-1
8660,50000,2,2,2,24,1,-2,-2,-2,-2,-2
3168,360000,2,2,3,37,0,0,0,-1,-1,-1
9017,60000,2,2,2,31,2,0,0,0,2,2
9818,180000,2,1,1,28,1,-2,-2,-2,-2,-2
23422,310000,2,2,1,32,0,0,0,0,0,0
9719,50000,2,2,1,31,0,0,2,0,0,2
5439,80000,1,3,2,34,0,0,0,0,0,0
16406,320000,2,2,1,32,0,0,0,-2,-1,0
1835,2.00E+05,2,1,1,35,-1,-1,-1,-1,-1,-1
2512,420000,2,1,1,37,-1,-1,-1,-1,-1,-1
