id,y,xx0,xx1,xx2,xx3,xx4,xx5,xx6,xx7,xx8
69,3,-0.434783,-0.153846,0.0555556,-0.475983,-0.538462,-0.735849,-0.607843,0.142857,-0.833333
668,1,0.608696,0.538462,0.777778,0.0393013,-0.582418,-0.698113,0.294118,-0.657143,0.166667
231,3,-0.478261,-0.846154,-0.805556,-0.947598,-0.824176,-0.962264,-0.934641,0.771429,-1
339,3,0.0434783,-0.0769231,0.416667,-0.502183,-0.648352,-0.698113,-0.490196,0.0857143,-0.666667
299,1,-0.217391,-0.461538,0.611111,-0.231441,-0.626374,-0.735849,-0.150327,-0.314286,-0.333333
622,3,-0.26087,0.153846,0.138889,-0.650655,-0.714286,-0.735849,-0.503268,0.0285714,-0.666667
291,3,0.0869565,-0.615385,-0.277778,-0.772926,-0.824176,-0.811321,-0.764706,0.428571,-0.833333
113,0,-0.826087,-0.615385,-0.0277778,-0.650655,-0.736264,-0.849057,-0.542484,0.142857,-0.666667
511,2,-0.434783,-0.230769,-0.166667,-0.80786,-0.802198,-0.849057,-0.529412,0.142857,-0.666667
340,2,-0.391304,-0.384615,-0.0833333,-0.528384,-0.626374,-0.811321,-0.490196,0.0285714,-0.666667
406,2,-0.347826,-0.461538,-0.0833333,-0.39738,-0.538462,-0.811321,-0.503268,0.0285714,-0.666667
178,2,-0.304348,-0.153846,-0.111111,-0.510917,-0.582418,-0.811321,-0.581699,0.142857,-0.666667
488,1,-0.130435,-0.0769231,0.138889,-0.362445,-0.626374,-0.811321,-0.372549,-0.142857,-0.5
439,0,-0.217391,0.230769,0.277778,-0.20524,-0.648352,-0.773585,-0.150327,-0.371429,-0.333333
594,1,-0.304348,-0.230769,0.0277778,-0.624454,-0.846154,-0.773585,-0.581699,0.142857,-0.666667
188,0,0.0869565,-0.0769231,0,-0.458515,-0.714286,-0.811321,-0.411765,-0.0857143,-0.5
163,1,0.0869565,-0.538462,0.138889,-0.240175,-0.626374,-0.735849,-0.294118,-0.2,-0.5
328,0,-0.304348,-0.153846,0.166667,-0.720524,-0.846154,-0.849057,-0.51634,0.0857143,-0.666667
301,1,0.434783,0.538462,0.611111,-0.222707,-0.714286,-0.698113,0.346405,-0.714286,0.166667
465,2,0.173913,0.230769,0.111111,-0.10917,-0.494505,-0.849057,-0.0718954,-0.485714,-0.333333
235,3,-0.130435,-0.307692,-0.333333,-0.528384,-0.538462,-0.735849,-0.712418,0.314286,-0.833333
651,1,0.0869565,0.692308,0.777778,-0.0480349,-0.56044,-0.735849,0.228758,-0.657143,0
466,2,-0.608696,-0.230769,-0.138889,-0.563319,-0.538462,-0.811321,-0.503268,0.0857143,-0.666667
436,3,-0.478261,-0.692308,-0.222222,-0.641921,-0.714286,-0.849057,-0.764706,0.428571,-0.833333
661,3,-0.347826,-0.846154,-0.444444,-0.659389,-0.736264,-0.811321,-0.79085,0.485714,-0.833333
582,3,-0.304348,-0.769231,-0.222222,-0.676856,-0.736264,-0.773585,-0.647059,0.2,-0.833333
331,3,0.0869565,-0.153846,0.0555556,-0.510917,-0.648352,-0.773585,-0.607843,0.2,-0.833333
352,1,-0.347826,-0.615385,-0.5,-0.71179,-0.714286,-0.886792,-0.529412,0.142857,-0.666667
646,0,-0.434783,-0.153846,0.0277778,-0.554585,-0.714286,-0.811321,-0.477124,0.0285714,-0.666667
578,0,0.130435,0.615385,0.666667,-0.170306,-0.67033,-0.735849,0.150327,-0.6,0
182,0,-0.782609,-0.769231,-0.444444,-0.895197,-0.802198,-0.849057,-0.856209,0.657143,-1
652,1,-0.478261,-0.461538,-0.277778,-0.720524,-0.758242,-0.849057,-0.607843,0.257143,-0.666667
18,2,0.130435,-0.384615,0.0277778,-0.187773,-0.516484,-0.849057,-0.150327,-0.428571,-0.333333
485,3,-0.26087,0.153846,0.0555556,-0.659389,-0.714286,-0.660377,-0.359477,-0.0285714,-0.5
82,2,0.130435,0.384615,0.444444,-0.135371,-0.604396,-0.886792,0.267974,-0.714286,0.166667
361,1,0.521739,0.461538,0.916667,-0.318777,-0.824176,-0.622642,0.359477,-0.714286,0.166667
325,1,-0.0869565,-0.615385,0.333333,-0.344978,-0.714286,-0.811321,-0.24183,-0.257143,-0.333333
49,3,-0.304348,0.0769231,0.138889,-0.624454,-0.626374,-0.660377,-0.424837,0.0285714,-0.5
628,2,-0.347826,-0.153846,-0.138889,-0.467249,-0.494505,-0.811321,-0.581699,0.142857,-0.666667
364,3,-0.304348,0.0769231,0.25,-0.624454,-0.758242,-0.698113,-0.464052,0.0285714,-0.666667
238,2,-0.478261,-0.0769231,-0.305556,-0.790393,-0.802198,-0.773585,-0.490196,0.0857143,-0.666667
272,1,-0.130435,0.0769231,0.333333,-0.161572,-0.582418,-0.811321,-0.202614,-0.314286,-0.333333
669,3,-0.0869565,0,0.416667,-0.379913,-0.494505,-0.622642,-0.411765,-0.0285714,-0.5
302,0,-0.130435,-0.230769,0.0555556,-0.458515,-0.736264,-0.811321,-0.490196,0.0285714,-0.666667
539,0,0.217391,0.230769,0.75,-0.0567686,-0.56044,-0.698113,0.163399,-0.6,0
6,2,0.478261,0.846154,0.833333,-0.406114,-0.934066,-0.849057,0.869281,-1,0.833333
245,3,-0.478261,0.0769231,-0.0277778,-0.851528,-0.868132,-0.735849,-0.411765,0.0285714,-0.5
62,0,-0.826087,-0.615385,-0.361111,-0.729258,-0.736264,-0.886792,-0.764706,0.485714,-0.833333
493,2,-0.478261,-0.230769,-0.277778,-0.772926,-0.78022,-0.849057,-0.490196,0.0857143,-0.666667
132,1,-0.434783,-0.769231,0.0277778,-0.467249,-0.714286,-0.811321,-0.503268,0.0857143,-0.666667
376,2,0.565217,0.461538,0.527778,-0.257642,-0.758242,-0.924528,0.503268,-0.828571,0.333333
421,3,0,-0.538462,-0.5,-0.886463,-0.912088,-0.849057,-0.72549,0.485714,-0.833333
155,3,-0.304348,-0.461538,0.0833333,-0.563319,-0.626374,-0.735849,-0.581699,0.142857,-0.666667
52,1,-0.173913,-0.615385,-0.138889,-0.388646,-0.582418,-0.811321,-0.45098,-0.0285714,-0.666667
222,3,-0.347826,-0.153846,0.25,-0.694323,-0.802198,-0.660377,-0.411765,-0.0285714,-0.5
634,0,0.26087,0.461538,0.694444,-0.0480349,-0.626374,-0.698113,0.189542,-0.6,0
21,2,-0.521739,0.0769231,-0.0277778,-0.572052,-0.626374,-0.849057,-0.45098,-0.0285714,-0.666667
378,1,-0.391304,-0.692308,-0.444444,-0.755459,-0.78022,-0.849057,-0.79085,0.485714,-0.833333
515,3,-0.304348,-0.615385,-0.0555556,-0.703057,-0.736264,-0.811321,-0.686275,0.314286,-0.833333
673,2,0.0434783,0.0769231,0.333333,-0.310044,-0.714286,-0.811321,0.111111,-0.6,0
492,1,0.0434783,-0.0769231,0,-0.379913,-0.714286,-0.735849,-0.411765,-0.0857143,-0.5
630,3,-0.26087,-0.307692,-0.361111,-0.650655,-0.736264,-0.811321,-0.751634,0.371429,-0.833333
307,1,0.434783,0.153846,0.861111,-0.144105,-0.692308,-0.698113,0.24183,-0.657143,0.166667
579,0,-0.173913,0,0.166667,-0.423581,-0.758242,-0.773585,-0.30719,-0.2,-0.5
532,2,0.478261,0.692308,0.75,-0.449782,-0.956044,-0.811321,0.830065,-0.942857,0.833333
204,0,0.304348,0.692308,0.666667,-0.213974,-0.67033,-0.660377,0.30719,-0.714286,0.166667
587,0,0.0869565,0.692308,0.888889,-0.441048,-0.868132,-0.660377,0.464052,-0.771429,0.333333
310,0,0.565217,0.153846,0.861111,-0.0305677,-0.67033,-0.698113,0.215686,-0.657143,0
541,2,-0.173913,-0.0769231,-0.0555556,-0.275109,-0.406593,-0.811321,-0.411765,-0.142857,-0.666667
32,1,-0.347826,-0.307692,0.0277778,-0.58952,-0.758242,-0.773585,-0.633987,0.2,-0.833333
495,2,0.434783,0.615385,0.805556,-0.475983,-0.978022,-0.886792,0.764706,-0.942857,0.666667
282,2,-0.608696,-0.230769,-0.0833333,-0.563319,-0.604396,-0.811321,-0.490196,0.0285714,-0.666667
545,2,-0.347826,-0.230769,-0.166667,-0.362445,-0.406593,-0.358491,-0.477124,0.0285714,-0.666667
585,2,0.173913,0.384615,0.361111,-0.170306,-0.604396,-0.849057,0.163399,-0.657143,0
647,2,-0.26087,-0.615385,0.0833333,-0.292576,-0.516484,-0.849057,-0.372549,-0.2,-0.5
80,2,-0.304348,-0.153846,-0.222222,-0.921397,-0.934066,-0.811321,-0.503268,0.0857143,-0.666667
359,0,-0.391304,-0.0769231,0.166667,-0.475983,-0.714286,-0.773585,-0.424837,-0.0857143,-0.666667
447,1,0.217391,0.461538,0.694444,-0.187773,-0.67033,-0.735849,-0.00653595,-0.485714,-0.166667
402,0,-0.478261,-0.692308,0.111111,-0.528384,-0.736264,-0.773585,-0.464052,0.0285714,-0.666667
276,2,-0.391304,-0.153846,-0.166667,-0.344978,-0.384615,-0.849057,-0.555556,0.0857143,-0.666667
300,2,0.0869565,-0.461538,0.0277778,-0.414847,-0.692308,-0.849057,-0.215686,-0.371429,-0.333333
116,3,-0.0434783,0.0769231,0.333333,-0.49345,-0.626374,-0.660377,-0.385621,-0.0285714,-0.5
677,2,-0.608696,-0.230769,-0.0833333,-0.528384,-0.538462,-0.811321,-0.490196,0.0285714,-0.666667
318,1,-0.0434783,-0.0769231,0.805556,-0.0917031,-0.626374,-0.698113,-0.0196078,-0.428571,-0.166667
293,2,-0.391304,-0.307692,0,-0.519651,-0.604396,-0.886792,-0.437908,-0.0857143,-0.666667
412,0,-0.782609,-0.769231,-0.694444,-0.895197,-0.802198,-0.924528,-0.895425,0.771429,-1
180,3,-0.304348,-0.153846,-0.166667,-0.71179,-0.758242,-0.849057,-0.686275,0.314286,-0.833333
543,1,-0.130435,-0.538462,0.277778,-0.336245,-0.736264,-0.735849,-0.281046,-0.257143,-0.5
598,3,-0.347826,-0.307692,-0.277778,-0.746725,-0.78022,-0.849057,-0.856209,0.6,-1
648,1,-0.478261,-0.615385,-0.0277778,-0.755459,-0.846154,-0.811321,-0.542484,0.142857,-0.666667
45,1,1,0.615385,0.833333,0.0131004,-0.604396,-0.622642,0.320261,-0.714286,0.166667
64,2,-0.565217,-0.307692,-0.277778,-0.545852,-0.56044,-0.811321,-0.503268,0.0857143,-0.666667
500,0,0.26087,0.615385,0.611111,-0.449782,-0.868132,-0.698113,0.372549,-0.714286,0.166667
581,2,-0.478261,-0.307692,-0.277778,-0.860262,-0.868132,-0.811321,-0.51634,0.0857143,-0.666667
387,1,0.130435,-0.230769,0.361111,-0.20524,-0.648352,-0.773585,-0.0326797,-0.485714,-0.166667
66,0,-0.304348,-0.384615,-0.0277778,-0.659389,-0.802198,-0.811321,-0.555556,0.142857,-0.666667
452,0,-0.0869565,-0.692308,-0.0555556,-0.432314,-0.736264,-0.811321,-0.346405,-0.142857,-0.5
223,2,0.173913,0.307692,0.138889,-0.187773,-0.56044,-0.849057,-0.0326797,-0.542857,-0.166667
556,0,-0.391304,0.230769,0.277778,-0.248908,-0.626374,-0.735849,-0.150327,-0.371429,-0.333333
428,0,-0.434783,-0.615385,0.361111,-0.371179,-0.736264,-0.735849,-0.254902,-0.257143,-0.5
435,1,0.347826,0.384615,0.805556,-0.441048,-0.846154,-0.698113,0.254902,-0.657143,0.166667
380,0,0.391304,0.769231,0.611111,-0.0829694,-0.626374,-0.660377,0.372549,-0.714286,0.166667
512,0,-0.347826,-0.615385,0.0277778,-0.545852,-0.802198,-0.811321,-0.333333,-0.142857,-0.5
471,3,-0.217391,-0.153846,-0.277778,-0.58952,-0.648352,-0.811321,-0.673203,0.257143,-0.833333
400,3,-0.391304,-0.307692,-0.333333,-0.598253,-0.626374,-0.698113,-0.72549,0.371429,-0.833333
616,0,-0.347826,-0.923077,-0.194444,-0.580786,-0.78022,-0.886792,-0.660131,0.257143,-0.833333
462,0,0.434783,0.461538,0.861111,-0.0655022,-0.67033,-0.773585,0.150327,-0.6,0
120,2,-0.130435,0.230769,0.0833333,-0.336245,-0.604396,-0.811321,-0.202614,-0.371429,-0.333333
444,0,0.130435,0.307692,0.333333,-0.126638,-0.626374,-0.698113,-0.0457516,-0.485714,-0.166667
46,3,-0.130435,0,0.166667,-0.641921,-0.758242,-0.660377,-0.385621,-0.0285714,-0.5
419,2,-0.391304,-0.230769,-0.166667,-0.432314,-0.450549,-0.811321,-0.477124,0.0285714,-0.666667
40,2,-0.652174,-0.0769231,-0.222222,-0.432314,-0.428571,-0.849057,-0.490196,0.0285714,-0.666667
278,0,-0.434783,-0.384615,-0.277778,-0.781659,-0.824176,-0.811321,-0.699346,0.371429,-0.833333
172,2,0.434783,0.615385,0.75,-0.502183,-1,-0.924528,0.764706,-0.942857,0.666667
199,2,-0.652174,0,-0.138889,-0.772926,-0.802198,-0.811321,-0.464052,0.0285714,-0.666667
496,2,-0.0869565,-0.0769231,-0.111111,-0.344978,-0.516484,-0.849057,-0.424837,-0.142857,-0.666667
431,1,0.347826,0.538462,0.888889,-0.10917,-0.692308,-0.660377,0.372549,-0.714286,0.166667
141,1,-0.26087,-0.692308,0.111111,-0.414847,-0.758242,-0.735849,-0.411765,-0.0857143,-0.5
617,0,-0.173913,-0.307692,-0.194444,-0.572052,-0.758242,-0.773585,-0.633987,0.257143,-0.833333
457,3,-0.173913,-0.230769,-0.166667,-0.825328,-0.89011,-0.849057,-0.647059,0.314286,-0.833333
225,1,-0.434783,-0.384615,-0.277778,-0.746725,-0.802198,-0.849057,-0.686275,0.314286,-0.833333
603,0,0.173913,0.384615,0.916667,0.10917,-0.494505,-0.660377,0.411765,-0.771429,0.333333
370,0,-0.304348,0.0769231,0.138889,-0.545852,-0.78022,-0.773585,-0.359477,-0.142857,-0.5
166,0,0.304348,0.615385,0.416667,-0.344978,-0.78022,-0.660377,0.411765,-0.714286,0.333333
157,0,-0.478261,-0.769231,0.0555556,-0.606987,-0.824176,-0.811321,-0.542484,0.0857143,-0.666667
546,3,-0.347826,-0.153846,0.222222,-0.729258,-0.824176,-0.622642,-0.437908,0.0285714,-0.5
119,2,-0.478261,-0.230769,-0.333333,-0.790393,-0.802198,-0.773585,-0.503268,0.142857,-0.666667
176,2,-0.347826,-0.461538,0.0555556,-0.283843,-0.428571,-0.849057,-0.398693,-0.142857,-0.5
555,1,0.73913,0.153846,0.611111,-0.0917031,-0.67033,-0.735849,0.189542,-0.6,0
142,2,-0.652174,-0.307692,-0.361111,-0.816594,-0.824176,-0.773585,-0.51634,0.142857,-0.666667
695,1,0.173913,-0.230769,0.444444,-0.187773,-0.67033,-0.698113,-0.111111,-0.428571,-0.333333
195,1,-0.173913,-0.692308,0.277778,-0.449782,-0.714286,-0.811321,-0.398693,-0.0857143,-0.5
92,0,-0.0869565,-0.615385,0.222222,-0.528384,-0.824176,-0.735849,-0.254902,-0.257143,-0.5
202,1,-0.26087,-0.769231,-0.0555556,-0.414847,-0.714286,-0.773585,-0.411765,-0.0857143,-0.666667
259,1,0.130435,0.153846,0.777778,-0.196507,-0.648352,-0.698113,0.163399,-0.6,0
454,2,-0.0434783,-0.230769,-0.138889,-0.519651,-0.626374,-0.849057,-0.568627,0.0857143,-0.666667
369,2,-0.521739,-0.0769231,-0.222222,-0.615721,-0.626374,-0.849057,-0.555556,0.142857,-0.666667
468,0,0,0.615385,0.777778,-0.379913,-0.758242,-0.698113,0.346405,-0.714286,0.166667
108,0,-0.478261,-0.538462,0.0277778,-0.58952,-0.736264,-0.773585,-0.503268,0.0857143,-0.666667
389,3,-0.0869565,0.0769231,0.25,1,1,0.773585,-0.437908,-0.0285714,-0.666667
215,0,-0.304348,-0.769231,-0.111111,-0.676856,-0.802198,-0.811321,-0.660131,0.257143,-0.833333
23,2,-0.0869565,-0.230769,-0.333333,-0.39738,-0.516484,-0.811321,-0.503268,-0.0285714,-0.666667
429,1,0.695652,0.307692,0.777778,-0.187773,-0.758242,-0.660377,0.254902,-0.657143,0.166667
338,2,0.130435,0.384615,0.333333,-0.266376,-0.67033,-0.886792,0.189542,-0.657143,0
639,2,0.0434783,0.230769,0,-0.135371,-0.428571,-0.811321,-0.137255,-0.428571,-0.333333
210,0,0.217391,0.769231,0.666667,-0.441048,-0.824176,-0.660377,0.333333,-0.714286,0.166667
214,2,0.347826,0.230769,0.361111,-0.441048,-0.846154,-0.924528,0.30719,-0.714286,0.166667
366,1,0.521739,0.615385,0.805556,-0.135371,-0.67033,-0.660377,0.176471,-0.6,0
440,1,0.0869565,0.0769231,0.916667,-0.144105,-0.736264,-0.660377,0.137255,-0.542857,0
53,0,0.0869565,0.692308,0.694444,0.0829694,-0.494505,-0.735849,0.281046,-0.714286,0.166667
430,3,-0.521739,-0.692308,-0.166667,-0.641921,-0.67033,-0.735849,-0.686275,0.257143,-0.833333
140,3,-0.217391,-0.307692,0.111111,-0.49345,-0.582418,-0.773585,-0.529412,0.0285714,-0.666667
129,3,0.0434783,-0.0769231,0.333333,-0.39738,-0.56044,-0.698113,-0.411765,-0.0285714,-0.5
547,3,-0.173913,-0.461538,-0.277778,-0.938865,-0.978022,-0.811321,-0.647059,0.371429,-0.666667
443,3,-0.217391,-0.769231,-0.444444,-0.80786,-0.802198,-0.849057,-0.908497,0.714286,-1
311,1,-0.26087,0.307692,0.388889,-0.266376,-0.692308,-0.698113,-0.0980392,-0.428571,-0.333333
446,3,-0.304348,0,-0.0555556,-0.729258,-0.736264,-0.735849,-0.411765,0.0285714,-0.5
590,0,0.347826,0.692308,0.805556,0.0393013,-0.494505,-0.698113,0.45098,-0.771429,0.333333
528,0,0.565217,0.230769,0.75,-0.283843,-0.78022,-0.660377,0.228758,-0.657143,0
280,2,-0.0869565,-0.692308,-0.0833333,-0.283843,-0.472527,-0.811321,-0.45098,-0.0857143,-0.666667
305,2,-0.478261,-0.0769231,-0.166667,-0.772926,-0.758242,-0.773585,-0.490196,0.0857143,-0.666667
95,2,-0.521739,-0.0769231,-0.277778,-0.563319,-0.604396,-0.849057,-0.568627,0.142857,-0.666667
654,0,0.0434783,-0.384615,0.444444,-0.187773,-0.648352,-0.698113,-0.124183,-0.371429,-0.333333
226,3,-0.130435,-0.384615,0.0833333,-0.519651,-0.648352,-0.773585,-0.581699,0.142857,-0.666667
329,3,-0.130435,-0.230769,0.333333,-0.423581,-0.582418,-0.735849,-0.503268,0.0857143,-0.666667
510,0,0.217391,0.692308,0.805556,-0.318777,-0.736264,-0.698113,0.346405,-0.714286,0.166667
605,0,-0.347826,-0.461538,0.0833333,-0.310044,-0.67033,-0.811321,-0.163399,-0.314286,-0.333333
629,2,0.0869565,0.384615,0.222222,-0.100437,-0.450549,-0.811321,-0.0588235,-0.485714,-0.333333
242,0,-0.130435,-0.0769231,-0.0833333,-0.475983,-0.736264,-0.811321,-0.385621,-0.0857143,-0.5
497,0,0.434783,0.692308,0.611111,0.0480349,-0.538462,-0.660377,0.346405,-0.714286,0.166667
521,1,-0.304348,-0.461538,0.361111,-0.388646,-0.758242,-0.773585,-0.150327,-0.371429,-0.333333
548,2,-0.347826,-0.153846,-0.166667,-0.58952,-0.692308,-0.773585,-0.594771,0.142857,-0.833333
482,0,0.347826,0.615385,0.416667,-0.0829694,-0.56044,-0.660377,0.385621,-0.714286,0.166667
337,3,-0.304348,-0.153846,0,-0.816594,-0.846154,-0.698113,-0.424837,0.0285714,-0.5
136,3,-0.304348,0.0769231,0.194444,0.90393,0.89011,0.735849,-0.398693,-0.0285714,-0.5
109,2,-0.695652,-0.153846,-0.222222,-0.729258,-0.736264,-0.773585,-0.503268,0.0857143,-0.666667
54,2,0.217391,-0.307692,-0.388889,-0.379913,-0.56044,-0.849057,-0.51634,-0.0285714,-0.666667
97,1,-0.304348,-0.307692,0.111111,-0.58952,-0.67033,-0.849057,-0.581699,0.142857,-0.666667
2,3,-0.217391,-0.384615,0.222222,-0.676856,-0.78022,-0.735849,-0.51634,0.0857143,-0.666667
650,1,-0.304348,-0.615385,0.0277778,-0.502183,-0.67033,-0.811321,-0.51634,0.0857143,-0.666667
491,1,0.521739,0.615385,0.916667,-0.257642,-0.78022,-0.660377,0.411765,-0.714286,0.333333
362,1,0.217391,0,0.805556,-0.20524,-0.692308,-0.698113,0.124183,-0.542857,0
357,2,-0.217391,-0.0769231,0,-0.414847,-0.516484,-0.811321,-0.503268,0.0285714,-0.666667
413,2,-0.695652,-0.230769,-0.138889,-0.746725,-0.714286,-0.811321,-0.503268,0.0857143,-0.666667
656,3,-0.434783,-0.846154,-0.888889,-0.947598,-0.846154,-1,-0.908497,0.771429,-1
670,2,-0.478261,-0.153846,-0.277778,-0.816594,-0.758242,-0.849057,-0.529412,0.0857143,-0.666667
422,0,0.0869565,0.153846,0.694444,-0.20524,-0.692308,-0.660377,0.24183,-0.714286,0
81,2,-0.391304,0,-0.138889,-0.519651,-0.582418,-0.849057,-0.490196,0.0285714,-0.666667
418,2,0,-0.769231,-0.0555556,-0.310044,-0.494505,-0.849057,-0.51634,-0.0285714,-0.666667
287,2,-0.565217,-0.384615,-0.166667,-0.554585,-0.604396,-0.811321,-0.581699,0.142857,-0.666667
27,1,-0.565217,-0.769231,-0.611111,-0.868996,-0.78022,-0.849057,-0.79085,0.542857,-0.833333
583,1,0.521739,0.538462,0.777778,-0.327511,-0.802198,-0.660377,0.411765,-0.714286,0.333333
283,2,-0.434783,0,-0.0833333,-0.816594,-0.78022,-0.849057,-0.490196,0.0857143,-0.666667
625,1,-0.521739,-0.769231,-0.0277778,-0.720524,-0.824176,-0.849057,-0.633987,0.257143,-0.833333
269,3,-0.434783,-0.538462,-0.444444,-0.68559,-0.714286,-0.811321,-0.908497,0.657143,-1
264,3,-0.304348,-0.846154,-0.166667,-0.703057,-0.758242,-0.811321,-0.816993,0.542857,-1
